iter	Logloss
0	0.6830688394
1	0.6726375151
2	0.6624371273
3	0.6530939749
4	0.6437266273
5	0.6360914176
6	0.6274293707
7	0.6189653148
8	0.6103491641
9	0.6013924287
10	0.59390881
11	0.5865972583
12	0.578324135
13	0.5716631358
14	0.5645850902
15	0.5575903737
16	0.5509963696
17	0.5438230513
18	0.5361350623
19	0.5301033638
20	0.5237459664
21	0.5181301781
22	0.5119764402
23	0.5064746521
24	0.5015476545
25	0.4962843886
26	0.4911015833
27	0.4860731201
28	0.4811913128
29	0.4769831447
30	0.4721476888
31	0.4680354594
32	0.4636867317
33	0.4597237176
34	0.4559503373
35	0.4516978607
36	0.4475061667
37	0.4436291248
38	0.4399095901
39	0.4364283915
40	0.4329308499
41	0.429280725
42	0.4253474603
43	0.4223491583
44	0.4191088302
45	0.416291763
46	0.4130972145
47	0.4104850951
48	0.4076448064
49	0.4049793582
50	0.4022836969
51	0.3995774183
52	0.3964831798
53	0.394142432
54	0.3918440421
55	0.3896790543
56	0.3871971415
57	0.384853752
58	0.3829091218
59	0.3809310721
60	0.3790034526
61	0.3767049554
62	0.3748111117
63	0.3723100754
64	0.3706243597
65	0.3687581994
66	0.366533567
67	0.3647740696
68	0.3632476713
69	0.3614532254
70	0.3594911402
71	0.3572995829
72	0.3559517039
73	0.3543960266
74	0.352902902
75	0.3514734388
76	0.3502708773
77	0.3482160286
78	0.346892937
79	0.3455234836
80	0.3443883437
81	0.3428782577
82	0.3409178696
83	0.3391051164
84	0.3379584589
85	0.3367915299
86	0.3357394638
87	0.3341016728
88	0.3327567734
89	0.3313905638
90	0.3299521244
91	0.3290712756
92	0.3277555723
93	0.3263920203
94	0.3252945472
95	0.3238397478
96	0.3227367777
97	0.3211435143
98	0.3198778034
99	0.3190539004
100	0.3178351816
101	0.3167429326
102	0.3155185824
103	0.3147647838
104	0.3137510711
105	0.3133393068
106	0.3127507348
107	0.3120477147
108	0.3115202363
109	0.3106061193
110	0.3098156053
111	0.3089407554
112	0.3080980748
113	0.3070822042
114	0.3061194756
115	0.3055012125
116	0.3046824236
117	0.304202153
118	0.3034481245
119	0.3027517519
120	0.3022165715
121	0.3014641694
122	0.3006592724
123	0.2997038087
124	0.29923599
125	0.2983570689
126	0.2977908493
127	0.2970320449
128	0.2965781537
