iter	Passed	Remaining
0	136	65791
1	140	33740
2	143	22934
3	146	17523
4	148	14205
5	150	11998
6	153	10415
7	155	9212
8	157	8270
9	159	7520
10	160	6899
11	162	6379
12	164	5939
13	166	5561
14	167	5225
15	168	4931
16	170	4672
17	171	4442
18	173	4234
19	174	4046
20	176	3874
21	182	3824
22	192	3849
23	196	3760
24	200	3679
25	203	3583
26	206	3488
27	208	3394
28	211	3309
29	213	3228
30	215	3149
31	218	3079
32	220	3008
33	222	2939
34	224	2874
35	226	2807
36	227	2745
37	229	2686
38	230	2628
39	237	2633
40	245	2647
41	249	2621
42	252	2587
43	255	2551
44	258	2516
45	260	2477
46	263	2442
47	265	2403
48	266	2364
49	268	2327
50	270	2291
51	272	2256
52	273	2221
53	275	2187
54	277	2156
55	278	2124
56	279	2091
57	281	2061
58	282	2031
59	283	2001
60	295	2045
61	300	2040
62	304	2029
63	307	2012
64	310	1998
65	313	1979
66	315	1959
67	317	1937
68	319	1915
69	321	1894
70	322	1874
71	324	1854
72	326	1835
73	328	1814
74	329	1794
75	331	1773
76	332	1753
77	333	1733
78	335	1714
79	337	1699
80	349	1736
81	355	1738
82	359	1732
83	363	1725
84	366	1714
85	369	1703
86	371	1692
87	374	1682
88	377	1670
89	379	1655
90	381	1642
91	383	1628
92	385	1614
93	387	1602
94	389	1590
95	391	1576
96	392	1562
97	394	1549
98	395	1535
99	405	1553
100	411	1557
101	416	1554
102	419	1546
103	422	1538
104	424	1528
105	427	1518
106	429	1508
107	431	1496
108	433	1485
109	435	1475
110	437	1465
111	438	1453
112	440	1441
113	441	1430
114	443	1418
115	444	1407
116	446	1395
117	447	1384
118	452	1382
119	462	1398
120	466	1395
121	469	1390
122	473	1385
123	476	1378
124	478	1371
125	480	1362
126	483	1354
127	485	1345
128	487	1337
129	489	1328
130	491	1319
131	493	1310
132	494	1302
133	496	1293
134	498	1284
135	499	1275
136	505	1276
137	515	1289
138	520	1286
139	523	1281
140	526	1276
141	529	1271
142	531	1264
143	534	1257
144	536	1249
145	538	1241
146	540	1234
147	542	1227
148	544	1219
149	546	1212
150	547	1204
151	549	1196
152	550	1188
153	552	1180
154	565	1195
155	569	1194
156	573	1190
157	576	1185
158	579	1180
159	581	1173
160	583	1167
161	586	1162
162	588	1155
163	590	1149
164	592	1142
165	594	1135
166	596	1129
167	598	1122
168	600	1114
169	601	1107
170	602	1100
171	604	1093
172	615	1102
173	622	1106
174	627	1103
175	631	1100
176	634	1096
177	637	1092
178	640	1086
179	642	1081
180	644	1075
181	646	1069
182	648	1063
183	650	1057
184	652	1050
185	654	1044
186	655	1037
187	657	1031
188	658	1024
189	660	1018
190	661	1011
191	662	1004
192	666	1002
193	677	1009
194	681	1006
195	684	1002
196	687	998
197	690	993
198	692	988
199	695	983
200	697	978
201	699	972
202	701	967
203	703	961
204	705	956
205	706	950
206	708	944
207	710	938
208	711	932
209	712	926
210	714	920
211	715	914
212	719	911
213	730	918
214	736	917
215	739	914
216	743	910
217	745	906
218	748	902
219	750	897
220	753	892
221	755	887
222	757	882
223	759	877
224	760	872
225	762	867
226	764	861
227	766	856
228	767	851
229	769	846
230	771	841
231	773	836
232	774	831
233	787	837
234	791	834
235	794	831
236	797	827
237	800	824
238	802	819
239	805	815
