model,dataset,seed,n_train,n_test,n_features,fit_time_sec,predict_time_sec,total_time_sec,tuning_time_sec,total_wall_time_sec,throughput_rows_per_sec,ms_per_test_row,peak_memory_mb,memory_delta_mb,gpu_memory_mb,error,roc_auc,avg_precision,f1_macro,brier_score,log_loss_val,sensitivity,specificity,ppv,ece_10,ece_15,max_calibration_error,pr_auc,optimal_threshold,optimal_tpr,optimal_fpr,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,balanced_accuracy,matthews_corrcoef,demographic_parity,tpr_overall,fpr_overall,f1_weighted,accuracy
TabPFN,banknote-auth,0,1097,275,4,6.249013100000411,2.823274700000184,9.072287800000597,0.0,9.072287800000597,97.40462021020394,10.266453454546124,97.48828125,9.39453125,,,1.0,1.0,1.0,1.6868621026891048e-10,1.2988004096877107e-05,1.0,1.0,1.0,1.2987919753042477e-05,1.2987919753042477e-05,1.299576681168535e-05,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4436363636363636,1.0,0.0,,
XGBoost,banknote-auth,0,1097,275,4,9.2045135999997,0.0113572000000203,9.21587079999972,8.708597300000292,17.924468100000013,24213.71251591888,0.0412989090909832,104.140625,6.25,,,1.0,1.0,1.0,0.0011008766014128,0.0103865638375282,1.0,1.0,1.0,0.0096243447471748,0.0096243569627404,0.4751029014587402,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4436363636363636,1.0,0.0,,
LightGBM,banknote-auth,0,1097,275,4,30.3321818000004,0.0095658999998704,30.34174770000027,29.94051010000021,60.28225780000048,28747.94543699796,0.0347850909086198,100.31640625,-4.06640625,,,1.0,1.0,0.9963198394111744,0.0026209882613866,0.0068801060586069,1.0,0.9934640522875816,0.991869918699187,0.0030932767531952,0.0030932767531952,0.8489826594119367,1.0,0.0,1.0,0.0,1.0,0.991869918699187,0.9934640522875816,1.0,0.99672131147541,0.9959183673469388,0.9967320261437908,0.9926666654889992,0.4472727272727272,1.0,0.0065359477124183,,
CatBoost,banknote-auth,0,1097,275,4,112.79771559999972,0.0035699000000022,112.80128549999972,111.43471969999972,224.23600519999945,77032.9485326982,0.0129814545454626,102.8359375,2.45703125,,,0.9996249866066644,0.9995217250416536,0.9963198394111744,0.0036471945944246,0.020255343066951,1.0,0.9934640522875816,0.991869918699187,0.0044513107370404,0.0050258020078363,0.0789925497344152,0.9995197143516766,0.0065359477124183,1.0,0.0065359477124183,1.0,0.991869918699187,0.9934640522875816,1.0,0.99672131147541,0.9959183673469388,0.9967320261437908,0.9926666654889992,0.4472727272727272,1.0,0.0065359477124183,,
MLP,banknote-auth,0,1097,275,4,11.450244900000143,0.0016961000001174,11.45194100000026,11.253331800000524,22.705272800000785,162136.5708651541,0.0061676363640634,103.45703125,0.71484375,,,1.0,1.0,0.981654191516898,0.0086451936513185,0.0303168352693319,1.0,0.9673202614379084,0.9606299212598424,0.023382899837399,0.0233829520456492,0.6361623406410217,1.0,0.0,1.0,0.0,1.0,0.9606299212598424,0.9673202614379084,1.0,0.9833887043189368,0.9799196787148594,0.9836601307189544,0.9639692871550152,0.4618181818181818,1.0,0.0326797385620915,,
TabPFN,credit-g,0,800,200,20,7.511386899999707,2.6273816000002626,10.13876849999997,0.0,10.13876849999997,76.12141301585525,13.136908000001313,482.75390625,3.76953125,,,0.7794047619047619,0.8897027894015426,0.6932891669733775,0.1686294828563659,0.5053392471294029,0.8428571428571429,0.5333333333333333,0.8082191780821918,0.0367012662440538,0.0519766718894243,0.1825232257445653,0.8890901024426634,0.2666666666666666,0.6928571428571428,0.2666666666666666,0.5925925925925926,0.8082191780821918,0.5333333333333333,0.8428571428571429,0.5614035087719298,0.8251748251748252,0.6880952380952381,0.3883060273455655,0.73,0.8428571428571429,0.4666666666666667,,
XGBoost,credit-g,0,800,200,20,34.77224859999933,0.0068772000004173,34.77912579999975,34.33720530000028,69.11633110000002,29081.598747493703,0.0343860000020868,155.46484375,-327.328125,,,0.7751190476190476,0.8828680089763065,0.6665645946037904,0.1677522510290146,0.5054958462715149,0.9071428571428573,0.4,0.7791411042944786,0.041743808016181,0.0535919292271137,0.3585198620955149,0.8820577217073942,0.1666666666666666,0.5857142857142857,0.1666666666666666,0.6486486486486487,0.7791411042944786,0.4,0.9071428571428573,0.4948453608247423,0.8382838283828383,0.6535714285714286,0.3624811263712761,0.815,0.9071428571428573,0.6,,
LightGBM,credit-g,0,800,200,20,44.3900751000001,0.0055255000006582,44.39560060000076,43.8668088000004,88.26240940000116,36195.81282786402,0.027627500003291,171.0625,12.54296875,,,0.7409523809523809,0.852944125056674,0.6796443398385146,0.1797411623261083,0.5456478531385905,0.8857142857142857,0.45,0.7898089171974523,0.0722353584583401,0.0836639608066882,0.2695313248559589,0.8516634362153521,0.3166666666666666,0.7071428571428572,0.3166666666666666,0.627906976744186,0.7898089171974523,0.45,0.8857142857142857,0.5242718446601942,0.835016835016835,0.6678571428571428,0.3744772262316113,0.785,0.8857142857142857,0.55,,
CatBoost,credit-g,0,800,200,20,144.96234900000036,0.5792504000000918,145.54159940000045,122.09616910000022,267.6377685000007,345.273822261831,2.896252000000459,61.328125,-109.84375,,,0.7815476190476192,0.8946704621290185,0.6710526315789473,0.1665399634279585,0.4984104326900608,0.9142857142857144,0.4,0.7804878048780488,0.0551971408721921,0.0599953458050969,0.2121909576860962,0.8941539238218685,0.3166666666666666,0.7642857142857142,0.3166666666666666,0.6666666666666666,0.7804878048780488,0.4,0.9142857142857144,0.5,0.8421052631578947,0.6571428571428571,0.3748789971250483,0.82,0.9142857142857144,0.6,,
MLP,credit-g,0,800,200,20,18.495091200000388,0.0030065999999351,18.498097800000323,16.38395749999927,34.88205529999959,66520.29983503463,0.0150329999996756,71.96875,8.0625,,,0.7034523809523808,0.8533161012652666,0.5408087690712488,0.1921708136796951,0.5634206533432007,0.9,0.2,0.7241379310344828,0.051612886339426,0.0804967553913593,0.7714710980653763,0.8524081045913474,0.2333333333333333,0.5785714285714286,0.2333333333333333,0.4615384615384615,0.7241379310344828,0.2,0.9,0.2790697674418604,0.802547770700637,0.55,0.1362631250826665,0.87,0.9,0.8,,
TabPFN,diabetes,0,614,154,8,8.30540209999981,2.42570859999978,10.73111069999959,0.0,10.73111069999959,63.4866034347767,15.751354545453117,97.3203125,9.96484375,,,0.8242592592592594,0.6978670655431023,0.6742307692307692,0.1677169702920127,0.4970274608379577,0.5185185185185185,0.82,0.6086956521739131,0.1125814146029629,0.0962476261449953,0.3682304978370667,0.6935427115344021,0.28,0.8518518518518519,0.28,0.7592592592592593,0.6086956521739131,0.82,0.5185185185185185,0.7884615384615384,0.56,0.6692592592592592,0.3529299526817895,0.2987012987012987,0.5185185185185185,0.18,,
XGBoost,diabetes,0,614,154,8,10.834528499999578,0.0322783000001436,10.866806799999722,10.741375399999924,21.608182199999646,4771.006999386823,0.2095993506502834,102.1328125,4.640625,,,0.8212962962962962,0.7153117749858191,0.7186538461538461,0.1634824126958847,0.4877934753894806,0.5740740740740741,0.85,0.6739130434782609,0.0408025110116252,0.092678984554557,0.4468187093734741,0.7120253050459084,0.32,0.8518518518518519,0.32,0.7870370370370371,0.6739130434782609,0.85,0.5740740740740741,0.8173076923076923,0.62,0.712037037037037,0.4421277853617603,0.2987012987012987,0.5740740740740741,0.15,,
LightGBM,diabetes,0,614,154,8,31.251790100000107,0.004260300000169,31.25605040000028,30.961892799999987,62.21794320000026,36147.680643665335,0.0276642857153836,107.921875,5.52734375,,,0.8327777777777778,0.6980914118498829,0.7186538461538461,0.1603893352721733,0.481476867915691,0.5740740740740741,0.85,0.6739130434782609,0.0950018696111697,0.0985108827943436,0.2960236065533612,0.6932591898772318,0.29,0.8703703703703703,0.29,0.7870370370370371,0.6739130434782609,0.85,0.5740740740740741,0.8173076923076923,0.62,0.712037037037037,0.4421277853617603,0.2987012987012987,0.5740740740740741,0.15,,
CatBoost,diabetes,0,614,154,8,65.3070246999996,0.002812100000483,65.30983680000008,64.98839449999923,130.29823129999932,54763.32463647181,0.0182603896135262,108.42578125,0.453125,,,0.827962962962963,0.6962109904918274,0.7009708737864078,0.162069488046461,0.486797860587881,0.5740740740740741,0.82,0.6326530612244898,0.0776837700181491,0.0813287100127681,0.3638973569738758,0.6911757229982499,0.26,0.8148148148148148,0.26,0.780952380952381,0.6326530612244898,0.82,0.5740740740740741,0.8,0.6019417475728155,0.697037037037037,0.4037216635973952,0.3181818181818182,0.5740740740740741,0.18,,
MLP,diabetes,0,614,154,8,7.06467210000028,0.0013515000000552,7.066023600000335,6.916436100000283,13.982459700000618,113947.38146231906,0.0087759740263327,108.4296875,0.06640625,,,0.8277777777777778,0.7265093880726103,0.7009708737864078,0.161508023738861,0.4806264042854309,0.5740740740740741,0.82,0.6326530612244898,0.0776245544676656,0.0954447003541054,0.2425981197092268,0.7234640392601815,0.31,0.8703703703703703,0.31,0.780952380952381,0.6326530612244898,0.82,0.5740740740740741,0.8,0.6019417475728155,0.697037037037037,0.4037216635973952,0.3181818181818182,0.5740740740740741,0.18,,
